location_id,location_name,centreline_id,direction,date,year,month,day_of_week,is_weekend,observed_hour_count,daily_total_volume,peak_hour_volume,peak_ratio,avg_observed_hourly_volume,peak_hour_concentration,traffic_demand_intensity,throughput_proxy,queue_pressure_proxy,delay_pressure_proxy
10250012_EB,Bloor St W: Jane St - Riverview Gdns,10250012,EB,2019-10-06,2019,10,6,1,24,13083,992,0.0758235878621111,545.125,1.8197661086906673,0.8056530574542767,13083,446.875,0.8197661086906673
10250316_WB,Bloor St W: Armadale Ave - Jane St,10250316,WB,2019-09-30,2019,9,0,0,24,14559,1262,0.086681777594615,606.625,2.0803626622707605,0.9503263707571802,14559,655.375,1.0803626622707605
10250316_WB,Bloor St W: Armadale Ave - Jane St,10250316,WB,2019-10-01,2019,10,1,0,24,14738,1391,0.0943818699959288,614.0833333333334,2.265164879902293,0.9620104438642297,14738,776.9166666666666,1.2651648799022932
10250316_WB,Bloor St W: Armadale Ave - Jane St,10250316,WB,2019-10-02,2019,10,2,0,24,15091,1296,0.0858790007289112,628.7916666666666,2.061096017493871,0.9850522193211488,15091,667.2083333333334,1.0610960174938708
10250316_WB,Bloor St W: Armadale Ave - Jane St,10250316,WB,2019-10-03,2019,10,3,0,24,15349,1356,0.0883445175581471,639.5416666666666,2.1202684213955307,1.001892950391645,15349,716.4583333333334,1.1202684213955307
10250316_WB,Bloor St W: Armadale Ave - Jane St,10250316,WB,2019-10-04,2019,10,4,0,24,15320,1343,0.08766318537859,638.3333333333334,2.103916449086162,1.0,15320,704.6666666666666,1.103916449086162
10250316_WB,Bloor St W: Armadale Ave - Jane St,10250316,WB,2019-10-05,2019,10,5,1,24,17172,1083,0.0630677847658979,715.5,1.5136268343815513,1.12088772845953,17172,367.5,0.5136268343815513
10250316_WB,Bloor St W: Armadale Ave - Jane St,10250316,WB,2019-10-06,2019,10,6,1,24,15543,1046,0.0672971755774303,647.625,1.6151322138583286,1.014556135770235,15543,398.375,0.6151322138583286
10257982_NB,Poplar Plains Rd: Macpherson Ave - Boulton Dr,10257982,NB,2015-08-17,2015,8,0,0,24,4720,381,0.0807203389830508,196.66666666666666,1.9372881355932203,1.0509908706301492,4720,184.33333333333334,0.9372881355932203
10257982_NB,Poplar Plains Rd: Macpherson Ave - Boulton Dr,10257982,NB,2015-08-18,2015,8,1,0,24,4491,377,0.0839456691160098,187.125,2.014696058784235,1.0,4491,189.875,1.014696058784235
10257982_NB,Poplar Plains Rd: Macpherson Ave - Boulton Dr,10257982,NB,2015-08-19,2015,8,2,0,24,4486,382,0.0851538118591172,186.91666666666666,2.0436914846188143,0.9988866622133156,4486,195.08333333333334,1.0436914846188143
10257982_SB,Poplar Plains Rd: Macpherson Ave - Boulton Dr,10257982,SB,2015-08-17,2015,8,0,0,24,4407,376,0.0853188109825277,183.625,2.0476514635806673,1.0279916025192442,4407,192.375,1.0476514635806673
10257982_SB,Poplar Plains Rd: Macpherson Ave - Boulton Dr,10257982,SB,2015-08-18,2015,8,1,0,24,4287,358,0.0835082808490786,178.625,2.0041987403778867,1.0,4287,179.375,1.0041987403778867
10257982_SB,Poplar Plains Rd: Macpherson Ave - Boulton Dr,10257982,SB,2015-08-19,2015,8,2,0,24,3921,351,0.0895179801071155,163.375,2.148431522570773,0.9146256123163051,3921,187.625,1.1484315225707729
102823_NB,Beare Rd: Passmore Ave - Steeles Ave E,102823,NB,2016-06-14,2016,6,1,0,24,1884,298,0.1581740976645435,78.5,3.7961783439490446,0.9848405645582854,1884,219.5,2.7961783439490446
102823_NB,Beare Rd: Passmore Ave - Steeles Ave E,102823,NB,2016-06-15,2016,6,2,0,24,1913,276,0.1442760062728698,79.70833333333333,3.4626241505488764,1.0,1913,196.29166666666669,2.4626241505488764
