date,daily_total_volume,peak_hour_volume,peak_ratio,congestion_target,year,month,quarter,day_of_week,is_weekend,week_of_year,lag_1,lag_7,lag_14,roll_7_mean,roll_14_mean,roll_7_std
2017-05-11,67480,5748,0.08518079430942502,67480,2017,5,2,3,0,19,67879.0,239818.0,15520.0,171925.2857142857,152588.57142857142,75056.73168724358
2017-05-30,96901,7349,0.0758402906058761,96901,2017,5,2,1,0,22,67480.0,225841.0,14976.0,147305.57142857142,156300.0,77306.27676511873
2017-05-31,95964,7305,0.07612229586094786,95964,2017,5,2,2,0,22,96901.0,215627.0,15684.0,128885.57142857143,162151.7857142857,70539.9355491988
2017-06-01,95962,7148,0.07448781809466247,95962,2017,6,2,3,0,22,95964.0,220683.0,248521.0,111790.85714285714,167886.07142857142,59678.92520654936
2017-06-06,87119,7530,0.08643349900710523,87119,2017,6,2,1,0,23,95962.0,167300.0,192201.0,93973.57142857143,156989.0,35450.22081198392
2017-06-07,92453,7896,0.08540555741836392,92453,2017,6,2,2,0,23,87119.0,66329.0,202994.0,82519.14285714286,149483.14285714287,14674.81640346992
2017-06-08,90089,7682,0.08527123178190456,90089,2017,6,2,3,0,23,92453.0,67879.0,242867.0,86251.14285714286,141587.35714285713,13109.585823951626
2017-06-13,16399,2205,0.1344594182572108,16399,2017,6,2,1,0,24,90089.0,67480.0,239818.0,89424.0,130674.64285714286,10310.931092746474
2017-06-14,16749,2387,0.1425159711027524,16749,2017,6,2,2,0,24,16399.0,96901.0,225841.0,82126.71428571429,114716.14285714286,29201.171886942957
2017-06-15,16538,2366,0.1430644576127706,16538,2017,6,2,3,0,24,16749.0,95964.0,215627.0,70676.42857142857,99781.0,37090.99923096882
2017-06-20,178171,13447,0.07547243939810631,178171,2017,6,2,1,0,25,16538.0,95962.0,220683.0,59329.857142857145,85560.35714285714,40093.118156056764
2017-06-21,155740,11645,0.07477205599075382,155740,2017,6,2,2,0,25,178171.0,87119.0,167300.0,71074.0,82523.78571428571,59806.044630394026
2017-06-22,159023,11809,0.07425969828263836,159023,2017,6,2,3,0,25,155740.0,92453.0,66329.0,80877.0,81698.07142857143,67944.55547723715
2017-07-05,165042,11839,0.07173325577731729,165042,2017,7,3,2,0,27,159023.0,90089.0,67879.0,90387.0,88319.07142857143,74205.22056431991
2017-07-06,161483,11526,0.07137593430887462,161483,2017,7,3,3,0,27,165042.0,16399.0,67480.0,101094.57142857143,95259.28571428571,79382.20221782562
2017-09-11,51667,4881,0.09447035825575319,51667,2017,9,3,0,0,37,161483.0,16749.0,96901.0,121820.85714285714,101973.78571428571,72198.30817830097
2017-09-12,55004,4843,0.08804814195331248,55004,2017,9,3,1,0,37,51667.0,16538.0,95964.0,126809.14285714286,98742.78571428571,64527.5932849061
2017-09-13,54596,4955,0.09075756465675142,54596,2017,9,3,2,0,37,55004.0,178171.0,95962.0,132304.2857142857,95817.07142857143,54417.73485336224
2017-09-14,55628,4852,0.08722226217013015,55628,2017,9,3,3,0,37,54596.0,155740.0,87119.0,114650.71428571429,92862.35714285714,57039.491143453866
2017-09-15,54751,4761,0.08695731584811237,54751,2017,9,3,4,0,37,55628.0,159023.0,92453.0,100349.0,90613.0,57568.2196470649
2017-09-16,42129,3248,0.07709653682736357,42129,2017,9,3,5,1,37,54751.0,165042.0,90089.0,85453.0,87920.0,53178.791348926825
2017-09-17,36853,2897,0.07860961115784332,36853,2017,9,3,6,1,37,42129.0,161483.0,16399.0,67894.0,84494.28571428571,41537.60100598826
2017-09-19,141340,14040,0.09933493703127211,141340,2017,9,3,1,0,38,36853.0,51667.0,16749.0,50089.71428571428,85955.28571428571,7504.75866172624
